md_thresh,batch_size,model_backbone,transfer_learning_rate,finetune_learning_rate,transfer_epochs,finetune_epochs,finetune_layers,transfer_patience,finetune_patience,acc,prec,rec,f1,phase
0.8911111111111111,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8844106463878327,0.8506366816773996,0.7476351893670123,0.7848766306218933,1
0.99,32,resnet50,0.0001,0.005,10,0,0,2,2,0.8448669201520913,0.7874989634978011,0.635299054100845,0.6815706898650723,1
0.99,32,inceptionresnetv2,0.0001,0.005,10,0,0,2,2,0.8775665399239544,0.8189545039495043,0.7233452875811203,0.7574220432313861,1
0.99,32,xception,0.0001,0.005,10,0,0,2,2,0.8927756653992396,0.8953315713857091,0.732939409472255,0.7948985019172591,1
0.99,32,densenet121,0.0001,0.005,10,0,0,2,2,0.8836501901140684,0.8277674560474821,0.7605641431765796,0.7724888642781722,1
0.99,32,densenet201,0.0001,0.005,10,0,0,2,2,0.8730038022813689,0.8296858440414365,0.7452220949882002,0.7774441030312167,1
0.8731313131313132,32,xception,7.742636826811278e-05,0.005,10,0,0,2,2,0.9064638783269962,0.8587116836267048,0.8187958000583302,0.8329554674545874,2
0.6393939393939394,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8692015209125475,0.7757696067583542,0.7267386934128781,0.7187549454124222,2
0.5315151515151515,32,xception,4.641588833612782e-05,0.005,10,0,0,2,2,0.9011406844106464,0.8504545810003049,0.8054204187524154,0.8230155632278273,2
0.4955555555555556,32,xception,0.0001291549665014,0.005,10,0,0,2,2,0.8927756653992396,0.8130715366799146,0.767552491626937,0.7847229634637605,2
0.954040404040404,32,xception,0.001,0.005,10,0,0,2,2,0.8083650190114069,0.7779564525883219,0.613973876169813,0.6409838610080456,2
0.6843434343434344,32,xception,0.001,0.005,10,0,0,2,2,0.8296577946768061,0.8209765170281776,0.619339684116816,0.678971549581317,2
0.5135353535353536,32,xception,0.0001291549665014,0.005,10,0,0,2,2,0.8904942965779468,0.8754724724547813,0.7438606370584785,0.79979182134895,2
0.3607070707070707,32,xception,0.0005994842503189,0.005,10,0,0,2,2,0.8836501901140684,0.8347516341005967,0.7904165542196817,0.7987377880623021,2
0.1539393939393939,32,xception,0.0001291549665014,0.005,10,0,0,2,2,0.8828897338403042,0.8305591547371005,0.761823043109798,0.7914714246430226,2
0.9090909090909092,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8828897338403042,0.777839777621551,0.800996201925098,0.7768113120166873,2
0.6933333333333334,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8950570342205323,0.8371497844274929,0.8252023262874306,0.8275547374653669,2
0.954040404040404,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8912547528517111,0.8384443675145387,0.7880042935501035,0.8038995231854456,2
0.4775757575757576,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8859315589353612,0.8205688690911108,0.791315223914295,0.7979028640880286,2
0.5494949494949495,32,xception,0.0002154434690031,0.005,10,0,0,2,2,0.8768060836501901,0.822559170445861,0.7936637523871886,0.8030036535817082,2
0.9450505050505053,32,xception,0.001,0.005,10,0,0,2,2,0.7520912547528517,0.6777550476986434,0.4728191939240121,0.4287084406510056,2
0.4865656565656566,32,xception,4.641588833612782e-05,0.005,10,0,0,2,2,0.8927756653992396,0.8320126784110534,0.7914121575308424,0.807039525544767,2
0.963030303030303,32,xception,0.001,0.005,10,0,0,2,2,0.8479087452471483,0.8141163170796404,0.6266810984533518,0.6880776367040349,2
0.3067676767676768,32,xception,0.0005994842503189,0.005,10,0,0,2,2,0.7840304182509505,0.6176598061882238,0.6036632470707584,0.5810802891397221,2
0.7113131313131313,32,xception,4.641588833612782e-05,0.005,10,0,0,2,2,0.8958174904942966,0.826265589666711,0.8104776884423035,0.8143155932842591,2
0.4416161616161617,32,xception,0.0005994842503189,0.005,10,0,0,2,2,0.8775665399239544,0.8343036744451342,0.7313390442901269,0.7709544151861972,2
0.3247474747474748,32,xception,0.0005994842503189,0.005,10,0,0,2,2,0.8577946768060837,0.7782473028475541,0.7064424846025688,0.7257889076869537,2
